Time,GMSL
1993-01-15,-1.6
1993-02-15,-3.4
1993-03-15,5.5
1993-04-15,0.1
1993-05-15,5.3
1993-06-15,0.2
1993-07-15,3.9
1993-08-15,0.2
1993-09-15,3.1
1993-10-15,-0.1
1993-11-15,0.5
1993-12-15,3.2
1994-01-15,2.9
1994-02-15,0.2
1994-03-15,9.3
1994-04-15,6.6
1994-05-15,2.7
1994-06-15,2.4
1994-07-15,1.5
1994-08-15,3.4
1994-09-15,-0.1
1994-10-15,3.4
1994-11-15,-3.5
1994-12-15,4.0
1995-01-15,2.3
1995-02-15,6.5
1995-03-15,6.9
1995-04-15,10.0
1995-05-15,2.5
1995-06-15,7.8
1995-07-15,0.7
1995-08-15,7.1
1995-09-15,5.0
1995-10-15,7.6
1995-11-15,3.1
1995-12-15,9.5
1996-01-15,0.1
1996-02-15,12.2
1996-03-15,7.5
1996-04-15,12.3
1996-05-15,11.2
1996-06-15,13.9
1996-07-15,13.4
1996-08-15,11.9
1996-09-15,10.8
1996-10-15,19.6
1996-11-15,15.6
1996-12-15,7.6
1997-01-15,10.8
1997-02-15,9.3
1997-03-15,15.0
1997-04-15,12.4
1997-05-15,17.6
1997-06-15,14.8
1997-07-15,21.5
1997-08-15,17.4
1997-09-15,24.2
1997-10-15,16.8
1997-11-15,20.3
1997-12-15,12.5
1998-01-15,20.8
1998-02-15,19.2
1998-03-15,25.9
1998-04-15,23.0
1998-05-15,25.0
1998-06-15,19.4
1998-07-15,24.6
1998-08-15,19.8
1998-09-15,21.7
1998-10-15,21.8
1998-11-15,20.5
1998-12-15,21.5
1999-01-15,22.7
1999-02-15,24.9
1999-03-15,20.6
1999-04-15,22.1
1999-05-15,18.8
1999-06-15,20.6
1999-07-15,19.8
1999-08-15,22.9
1999-09-15,18.0
1999-10-15,28.0
1999-11-15,17.9
1999-12-15,28.8
2000-01-15,22.4
2000-02-15,28.6
2000-03-15,24.5
2000-04-15,27.2
2000-05-15,20.7
2000-06-15,26.7
2000-07-15,20.0
2000-08-15,26.3
2000-09-15,23.0
2000-10-15,30.3
2000-11-15,24.1
2000-12-15,25.7
2001-01-15,26.9
2001-02-15,28.2
2001-03-15,30.4
2001-04-15,30.1
2001-05-15,29.0
2001-06-15,28.9
2001-07-15,32.5
2001-08-15,27.6
2001-09-15,34.8
2001-10-15,27.8
2001-11-15,32.6
2001-12-15,26.6
2002-01-15,32.2
2002-02-15,32.4
2002-03-15,32.2
2002-04-15,32.0
2002-05-15,33.8
2002-06-15,31.1
2002-07-15,35.3
2002-08-15,36.7
2002-09-15,32.8
2002-10-15,36.1
2002-11-15,32.2
2002-12-15,33.1
2003-01-15,34.5
2003-02-15,37.0
2003-03-15,36.6
2003-04-15,35.8
2003-05-15,36.4
2003-06-15,33.3
2003-07-15,34.2
2003-08-15,33.4
2003-09-15,37.7
2003-10-15,35.6
2003-11-15,34.5
2003-12-15,35.2
2004-01-15,39.1
2004-02-15,37.0
2004-03-15,39.3
2004-04-15,38.7
2004-05-15,37.2
2004-06-15,36.7
2004-07-15,38.4
2004-08-15,36.1
2004-09-15,39.0
2004-10-15,35.3
2004-11-15,35.3
2004-12-15,39.2
2005-01-15,38.1
2005-02-15,40.9
2005-03-15,42.5
2005-04-15,40.5
2005-05-15,41.4
2005-06-15,41.9
2005-07-15,40.9
2005-08-15,40.4
2005-09-15,40.6
2005-10-15,41.0
2005-11-15,43.6
2005-12-15,44.7
2006-01-15,40.1
2006-02-15,43.5
2006-03-15,42.8
2006-04-15,43.3
2006-05-15,43.1
2006-06-15,44.0
2006-07-15,44.0
2006-08-15,43.1
2006-09-15,43.3
2006-10-15,44.3
2006-11-15,40.2
2006-12-15,43.5
2007-01-15,40.5
2007-02-15,42.8
2007-03-15,43.3
2007-04-15,48.0
2007-05-15,43.9
2007-06-15,43.5
2007-07-15,41.5
2007-08-15,42.2
2007-09-15,41.4
2007-10-15,42.6
2007-11-15,45.9
2007-12-15,42.8
2008-01-15,46.2
2008-02-15,43.7
2008-03-15,48.5
2008-04-15,47.0
2008-05-15,52.9
2008-06-15,49.8
2008-07-15,49.4
2008-08-15,47.5
2008-09-15,49.2
2008-10-15,48.5
2008-11-15,50.5
2008-12-15,49.6
2009-01-15,51.1
2009-02-15,49.3
2009-03-15,53.7
2009-04-15,52.0
2009-05-15,54.5
2009-06-15,54.3
2009-07-15,54.3
2009-08-15,53.0
2009-09-15,54.8
2009-10-15,54.6
2009-11-15,55.1
2009-12-15,55.7
2010-01-15,52.5
2010-02-15,54.3
2010-03-15,54.8
2010-04-15,56.0
2010-05-15,57.6
2010-06-15,60.5
2010-07-15,57.7
2010-08-15,55.5
2010-09-15,51.5
2010-10-15,53.5
2010-11-15,51.6
2010-12-15,53.1
2011-01-15,52.1
2011-02-15,52.9
2011-03-15,49.9
2011-04-15,53.0
2011-05-15,52.5
2011-06-15,57.4
2011-07-15,54.3
2011-08-15,57.7
2011-09-15,54.0
2011-10-15,57.4
2011-11-15,54.9
2011-12-15,59.3
2012-01-15,63.8
2012-02-15,62.4
2012-03-15,62.3
2012-04-15,62.0
2012-05-15,64.1
2012-06-15,66.9
2012-07-15,69.3
2012-08-15,65.9
2012-09-15,65.8
2012-10-15,65.9
2012-11-15,67.2
2012-12-15,69.1
2013-01-15,70.2
2013-02-15,67.7
2013-03-15,71.0
2013-04-15,68.0
2013-05-15,69.5
2013-06-15,67.8
2013-07-15,69.7
2013-08-15,64.9
2013-09-15,65.7
2013-10-15,64.9
2013-11-15,68.1
2013-12-15,66.9
2014-01-15,69.0
2014-02-15,70.1
2014-03-15,71.5
2014-04-15,69.3
2014-05-15,69.9
2014-06-15,71.9
2014-07-15,73.1
2014-08-15,73.5
2014-09-15,70.2
2014-10-15,71.7
2014-11-15,69.0
2014-12-15,76.0
2015-01-15,74.5
2015-02-15,79.5
